"","expedition_id","peak_id","peak_name","year","season","basecamp_date","highpoint_date","termination_date","termination_reason","highpoint_metres","members","member_deaths","hired_staff","hired_staff_deaths","trekking_agency","climb_success","death_on_exp","height_metres"
"1","ANN260101","ANN2","Annapurna II",1960,"Spring",1960-03-15,1960-05-17,NA,"Success (main peak)",7937,10,0,9,0,NA,1,0,7937
"2","ANN269301","ANN2","Annapurna II",1969,"Autumn",1969-09-25,1969-10-22,1969-10-26,"Success (main peak)",7937,10,0,0,0,NA,1,0,7937
"3","ANN273101","ANN2","Annapurna II",1973,"Spring",1973-03-16,1973-05-06,NA,"Success (main peak)",7937,6,0,8,0,NA,1,0,7937
"4","ANN278301","ANN2","Annapurna II",1978,"Autumn",1978-09-08,1978-10-02,1978-10-05,"Bad weather (storms, high winds)",7000,2,0,0,0,NA,0,0,7937
"5","ANN279301","ANN2","Annapurna II",1979,"Autumn",NA,1979-10-18,1979-10-20,"Bad weather (storms, high winds)",7160,3,0,0,0,NA,0,0,7937
"6","ANN280101","ANN2","Annapurna II",1980,"Spring",1980-03-25,1980-04-24,1980-05-01,"Accident (death or serious injury)",7000,6,1,2,0,NA,0,1,7937
"7","ANN280102","ANN2","Annapurna II",1980,"Spring",1980-04-09,1980-05-08,NA,"Accident (death or serious injury)",7250,7,0,2,0,NA,0,0,7937
"8","ANN281302","ANN2","Annapurna II",1981,"Autumn",1981-09-04,1981-09-23,NA,"Bad weather (storms, high winds)",6400,19,0,0,0,NA,0,0,7937
"9","ANN281301","ANN2","Annapurna II",1981,"Autumn",1981-09-04,1981-10-11,1981-10-17,"Accident (death or serious injury)",7400,9,1,3,0,NA,0,1,7937
"10","ANN282301","ANN2","Annapurna II",1982,"Autumn",1982-09-14,1982-10-04,1982-10-08,"Bad weather (storms, high winds)",7350,5,0,0,0,NA,0,0,7937
"11","ANN283101","ANN2","Annapurna II",1983,"Spring",1983-04-11,1983-05-05,NA,"Accident (death or serious injury)",7450,5,1,0,0,NA,0,1,7937
"12","ANN283301","ANN2","Annapurna II",1983,"Autumn",1983-08-19,1983-10-08,1983-10-16,"Success (main peak)",7937,5,0,3,0,"Kunga",1,0,7937
"13","ANN283302","ANN2","Annapurna II",1983,"Autumn",1983-09-01,1983-10-08,1983-10-26,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7300,6,0,4,0,NA,0,0,7937
"14","ANN283401","ANN2","Annapurna II",1983,"Winter",1983-11-25,1983-12-11,1983-12-15,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5950,4,0,2,0,"Sherpa Cooperative Trekking (SCT)",0,0,7937
"15","ANN284101","ANN2","Annapurna II",1984,"Spring",1984-03-13,1984-04-02,1984-04-05,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000,3,0,0,0,NA,0,0,7937
"16","ANN284301","ANN2","Annapurna II",1984,"Autumn",1984-08-23,1984-09-03,1984-09-26,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5100,4,0,2,0,NA,0,0,7937
"17","ANN285301","ANN2","Annapurna II",1985,"Autumn",1985-09-07,1985-10-05,1985-10-11,"Bad weather (storms, high winds)",7020,8,0,5,0,NA,0,0,7937
"18","ANN286102","ANN2","Annapurna II",1986,"Spring",1986-03-26,1986-04-30,1986-05-02,"Bad weather (storms, high winds)",7000,7,0,0,0,"Remote Adventure",0,0,7937
"19","ANN286101","ANN2","Annapurna II",1986,"Spring",1986-03-23,1986-05-04,1986-05-08,"Bad weather (storms, high winds)",7250,9,0,0,0,"Mountain Travel",0,0,7937
"20","ANN287301","ANN2","Annapurna II",1987,"Autumn",1987-09-15,1987-10-13,1987-10-21,"Route technically too difficult, lack of experience, strength, or motivation",7500,2,0,0,0,"Jai Himal Trekking",0,0,7937
"21","ANN290301","ANN2","Annapurna II",1990,"Autumn",1990-09-22,1990-10-10,1990-10-12,"Bad weather (storms, high winds)",7200,7,0,4,0,"Yangrima",0,0,7937
"22","ANN450201","ANN4","Annapurna IV",1950,"Summer",1950-06-04,1950-06-17,NA,"Bad weather (storms, high winds)",7300,6,0,5,0,NA,0,0,7525
"23","ANN452301","ANN4","Annapurna IV",1952,"Autumn",NA,NA,NA,"Bad weather (storms, high winds)",5700,6,0,6,0,NA,0,0,7525
"24","ANN453101","ANN4","Annapurna IV",1953,"Spring",NA,NA,NA,"Did not attempt climb",NA,2,0,0,0,NA,0,0,7525
"25","ANN453301","ANN4","Annapurna IV",1953,"Autumn",1953-10-21,NA,1953-11-04,"Bad weather (storms, high winds)",7100,7,0,7,0,NA,0,0,7525
"26","ANN455101","ANN4","Annapurna IV",1955,"Spring",1955-05-13,1955-05-30,NA,"Success (main peak)",7525,4,0,2,0,NA,1,0,7525
"27","ANN457101","ANN4","Annapurna IV",1957,"Spring",1957-04-16,1957-05-05,1957-05-18,"Success (main peak)",7525,2,0,4,0,NA,1,0,7525
"28","ANN460101","ANN4","Annapurna IV",1960,"Spring",1960-03-15,1960-05-18,NA,"Success (main peak)",7525,4,0,3,0,NA,1,0,7525
"29","ANN469301","ANN4","Annapurna IV",1969,"Autumn",NA,1969-10-07,NA,"Success (main peak)",7525,9,0,1,0,NA,1,0,7525
"30","ANN469302","ANN4","Annapurna IV",1969,"Autumn",1969-09-25,1969-10-21,1969-10-26,"Success (main peak)",7525,10,0,0,0,NA,1,0,7525
"31","ANN470101","ANN4","Annapurna IV",1970,"Spring",NA,1970-04-25,NA,"Success (main peak)",7525,8,0,6,0,NA,1,0,7525
"32","ANN474101","ANN4","Annapurna IV",1974,"Spring",1974-03-20,1974-04-26,1974-05-02,"Success (main peak)",7525,4,0,5,0,NA,1,0,7525
"33","ANN478101","ANN4","Annapurna IV",1978,"Spring",1978-04-07,1978-04-23,1978-04-28,"Success (main peak)",7525,7,0,5,0,NA,1,0,7525
"34","ANN479301","ANN4","Annapurna IV",1979,"Autumn",1979-10-11,1979-10-25,1979-10-26,"Illness, AMS, exhaustion, or frostbite",6900,16,0,5,0,NA,0,0,7525
"35","ANN480301","ANN4","Annapurna IV",1980,"Autumn",1980-10-11,1980-10-23,1980-10-30,"Success (main peak)",7525,14,0,6,0,NA,1,0,7525
"36","ANN481101","ANN4","Annapurna IV",1981,"Spring",1981-04-08,1981-04-25,NA,"Success (main peak)",7525,7,0,3,0,NA,1,0,7525
"37","ANN481301","ANN4","Annapurna IV",1981,"Autumn",1981-09-04,1981-10-10,NA,"Bad weather (storms, high winds)",7300,19,0,0,0,NA,0,0,7525
"38","ANN481401","ANN4","Annapurna IV",1981,"Winter",1981-11-23,1981-12-22,1981-12-28,"Success (main peak)",7525,8,0,2,0,NA,1,0,7525
"39","ANN483101","ANN4","Annapurna IV",1983,"Spring",1983-04-02,1983-05-09,NA,"Success (main peak)",7525,4,0,1,0,NA,1,0,7525
"40","ANN483301","ANN4","Annapurna IV",1983,"Autumn",1983-09-25,1983-10-07,1983-10-10,"Success (main peak)",7525,15,0,3,0,NA,1,0,7525
"41","ANN484302","ANN4","Annapurna IV",1984,"Autumn",1984-09-29,1984-10-06,1984-10-17,"Bad weather (storms, high winds)",6400,10,0,2,0,NA,0,0,7525
"42","ANN484301","ANN4","Annapurna IV",1984,"Autumn",1984-09-28,1984-10-06,1984-10-11,"Lack (or loss) of supplies or equipment",6800,9,0,2,0,NA,0,0,7525
"43","ANN485301","ANN4","Annapurna IV",1985,"Autumn",1985-10-05,1985-10-06,1985-10-25,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5000,15,0,0,1,NA,0,1,7525
"44","ANN486101","ANN4","Annapurna IV",1986,"Spring",1986-04-08,1986-05-02,NA,"Success (main peak)",7525,35,0,5,0,"NPMAF",1,0,7525
"45","ANN486301","ANN4","Annapurna IV",1986,"Autumn",1986-10-23,1986-11-07,NA,"Success (main peak)",7525,9,0,2,0,"Sherpa Society",1,0,7525
"46","ANN487101","ANN4","Annapurna IV",1987,"Spring",1987-04-08,1987-04-23,1987-04-24,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5700,6,0,2,0,"Mountain Travel",0,0,7525
"47","ANN487302","ANN4","Annapurna IV",1987,"Autumn",1987-09-29,1987-10-16,1987-10-19,"Bad weather (storms, high winds)",6460,15,0,2,0,"Rover Treks",0,0,7525
"48","ANN487301","ANN4","Annapurna IV",1987,"Autumn",1987-09-16,1987-10-10,1987-10-18,"Success (main peak)",7525,7,0,4,0,"Rover Treks",1,0,7525
"49","ANN489301","ANN4","Annapurna IV",1989,"Autumn",1989-08-21,1989-09-20,NA,"Success (main peak)",7525,9,0,2,0,"Asian Trekking",1,0,7525
"50","ANN490301","ANN4","Annapurna IV",1990,"Autumn",1990-10-04,1990-10-13,1990-10-18,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6600,12,0,5,0,"Sherpa Trekking Service (STS)",0,0,7525
"51","ANN490302","ANN4","Annapurna IV",1990,"Autumn",1990-10-17,1990-10-29,1990-11-01,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6800,10,0,3,0,"Thamserku Trekking",0,0,7525
"52","ANN490303","ANN4","Annapurna IV",1990,"Autumn",1990-11-05,1990-11-14,NA,"Success (main peak)",7525,8,0,7,0,"Himalayan Journeys",1,0,7525
"53","ANN491101","ANN4","Annapurna IV",1991,"Spring",1991-04-03,1991-04-19,1991-04-20,"Bad weather (storms, high winds)",5650,6,0,3,0,"Journeys Mountaineering & Trekking",0,0,7525
"54","ANN491301","ANN4","Annapurna IV",1991,"Autumn",1991-08-27,1991-09-05,1991-09-07,"Bad weather (storms, high winds)",6480,1,0,1,0,"Cosmo Treks",0,0,7525
"55","ANN491302","ANN4","Annapurna IV",1991,"Autumn",1991-09-09,1991-10-09,1991-10-13,"Bad weather (storms, high winds)",7000,1,0,5,0,"Wangdi",0,0,7525
"56","ANN491303","ANN4","Annapurna IV",1991,"Autumn",1991-11-01,1991-11-15,1991-11-20,"Bad weather (storms, high winds)",6500,9,0,2,0,"Everest Trekking",0,0,7525
"57","ANN492101","ANN4","Annapurna IV",1992,"Spring",1992-03-31,1992-05-05,1992-05-09,"Success (main peak)",7525,12,0,0,0,"Mountain Travel",1,0,7525
"58","ANN492301","ANN4","Annapurna IV",1992,"Autumn",1992-09-01,1992-09-21,1992-09-25,"Success (main peak)",7525,6,0,3,0,"Universal Trekking Network",1,0,7525
"59","ANN492303","ANN4","Annapurna IV",1992,"Autumn",1992-09-13,1992-09-23,1992-09-27,"Success (main peak)",7525,1,0,4,0,"Journeys Mountaineering & Trekking",1,0,7525
"60","ANN492302","ANN4","Annapurna IV",1992,"Autumn",1992-09-04,1992-09-24,1992-09-27,"Success (main peak)",7525,6,0,1,0,"Kunga",1,0,7525
"61","ANN492304","ANN4","Annapurna IV",1992,"Autumn",1992-09-16,1992-10-02,1992-10-08,"Bad weather (storms, high winds)",6400,6,0,5,0,"Himalayan Journeys",0,0,7525
"62","MAKA88101","MAKA","Makalu",1988,"Spring",1988-04-06,1988-04-27,NA,"Success (main peak)",8485,1,0,2,0,"Thamserku Trekking",1,0,8485
"63","MAKA88103","MAKA","Makalu",1988,"Spring",1988-04-13,1988-05-08,1988-05-21,"Bad weather (storms, high winds)",7800,9,0,2,0,"International Trekkers (Intrek Asia)",0,0,8485
"64","MAKA88102","MAKA","Makalu",1988,"Spring",1988-04-07,1988-05-03,1988-05-06,"Lack of time",8300,9,0,1,0,"International Trekkers (Intrek Asia)",0,0,8485
"65","KANG88101","KANG","Kangchenjunga",1988,"Spring",1988-04-03,1988-05-03,NA,"Success (main peak)",8586,5,0,2,0,"Mountain Travel",1,0,8586
"66","KANG88102","KANG","Kangchenjunga",1988,"Spring",1988-04-06,1988-05-20,1988-05-29,"Bad weather (storms, high winds)",7800,4,0,2,0,"Kunga",0,0,8586
"67","KANG88103","KANG","Kangchenjunga",1988,"Spring",1988-03-24,1988-04-15,1988-05-15,"Route technically too difficult, lack of experience, strength, or motivation",8450,23,1,9,0,"Lamjung",0,1,8586
"68","MAKA88104","MAKA","Makalu",1988,"Spring",NA,NA,NA,"Did not reach base camp",NA,2,0,0,0,"Asian Trekking",0,0,8485
"69","AMAD88101","AMAD","Ama Dablam",1988,"Spring",1988-03-22,1988-04-10,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5770,4,0,2,0,"Mountain Travel",0,0,6814
"70","AMAD88102","AMAD","Ama Dablam",1988,"Spring",1988-03-23,1988-04-15,1988-04-17,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6520,6,1,0,0,"Mountain Travel",0,1,6814
"71","BARU88102","BARU","Baruntse",1988,"Spring",1988-04-25,1988-05-07,NA,"Lack of time",6500,6,0,5,0,"Sherpa Cooperative Trekking (SCT)",0,0,7152
"72","BARU88101","BARU","Baruntse",1988,"Spring",1988-04-20,1988-05-10,1988-05-17,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7070,10,0,4,0,"Kunga",0,0,7152
"73","CHAM88101","CHAM","Chamlang",1988,"Spring",1988-04-17,1988-05-10,NA,"Success (subpeak)",7290,6,0,2,0,"Summit Nepal Trekking",1,0,7321
"74","KUSU88101","KUSU","Kusum Kanguru",1988,"Spring",1988-04-10,1988-04-23,1988-04-28,"Lack of time",6300,6,0,0,0,NA,0,0,6370
"75","LSHR88101","LSHR","Lhotse Shar",1988,"Spring",1988-04-02,1988-05-12,1988-05-20,"Bad weather (storms, high winds)",7400,5,0,1,0,"Nepal Himalaya",0,0,8382
"76","CHOY88102","CHOY","Cho Oyu",1988,"Spring",1988-04-07,1988-04-29,NA,"Lack (or loss) of supplies or equipment",7600,5,0,6,0,"Yeti Mountaineering & Trekking",0,0,8188
"77","CHOY88105","CHOY","Cho Oyu",1988,"Spring",1988-04-27,1988-05-08,1988-05-15,"Bad weather (storms, high winds)",7600,2,0,0,0,NA,0,0,8188
"78","CHOY88104","CHOY","Cho Oyu",1988,"Spring",1988-04-20,1988-05-10,NA,"Success (main peak)",8188,4,1,0,0,NA,1,1,8188
"79","CHOY88101","CHOY","Cho Oyu",1988,"Spring",1988-04-03,1988-04-30,NA,"Success (main peak)",8188,6,0,1,0,"Atlas",1,0,8188
"80","CHOY88103","CHOY","Cho Oyu",1988,"Spring",1988-04-14,1988-05-01,1988-05-12,"Success (main peak)",8188,8,0,4,0,NA,1,0,8188
"81","CHOY88106","CHOY","Cho Oyu",1988,"Spring",1988-05-25,1988-05-30,NA,"Success (main peak)",8188,27,0,0,0,NA,1,0,8188
"82","KTEG88101","KTEG","Kangtega",1988,"Spring",1988-04-06,1988-04-13,1988-04-18,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100,3,0,0,0,"Dream Trekking",0,0,6783
"83","PUMO88101","PUMO","Pumori",1988,"Spring",1988-04-04,1988-04-18,NA,"Success (main peak)",7138,4,1,0,0,"Sherpa Trekking Service (STS)",1,1,7138
"84","PUMO88102","PUMO","Pumori",1988,"Spring",1988-04-06,1988-04-26,NA,"Success (main peak)",7138,7,0,4,0,"Sherpa Trekking Service (STS)",1,0,7138
