"","peak_name","total_expeditions","successful_treks","death_on_trek","summit_rate","death_rate"
"1","Ama Dablam",1366,928,25,0.679355783308931,0.0183016105417277
"2","Annapurna I",243,82,40,0.337448559670782,0.164609053497942
"3","Annapurna IV",97,32,4,0.329896907216495,0.0412371134020619
"4","Baruntse",308,122,11,0.396103896103896,0.0357142857142857
"5","Cho Oyu",1332,841,44,0.631381381381381,0.033033033033033
"6","Dhaulagiri I",383,163,52,0.425587467362924,0.135770234986945
"7","Everest",2149,1326,216,0.617031177291764,0.100511865984179
"8","Himlung Himal",148,96,3,0.648648648648649,0.0202702702702703
"9","Jannu",52,17,6,0.326923076923077,0.115384615384615
"10","Kangchenjunga",184,112,29,0.608695652173913,0.157608695652174
"11","Lhotse",429,250,21,0.582750582750583,0.048951048951049
"12","Makalu",356,153,37,0.429775280898876,0.103932584269663
"13","Manaslu",632,346,48,0.54746835443038,0.0759493670886076
"14","Nuptse",64,13,4,0.203125,0.0625
"15","Pumori",265,127,22,0.479245283018868,0.0830188679245283
"16","Putha Hiunchuli",91,55,1,0.604395604395604,0.010989010989011
"17","Tilicho",86,30,6,0.348837209302326,0.0697674418604651
"18","Tukuche",62,31,2,0.5,0.032258064516129
